"R‚f‚rence
immobilisation";"D‚signation
";"Date 
d'acquisition";"Date de
mise en service";"Valeur
d'acquisition";"Valeur
r‚siduelle";;"Groupe 
immobilisation";"Libell‚ groupe
immobilisation"
MOB/000001/DRO350;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRO675;Table bois pieds metalliques;31/12/1986;31/12/1986;68292;0;;881;MOBILIER DE BUREAU
MOB/000002/CAB100;Armoire metallique 10 clapets;31/12/1986;31/12/1986;165478;0;;881;MOBILIER DE BUREAU
MOB/000002/DAS100;Armoire metallique a 5 clapets;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000002/DME300;Armoire metallique 2 battants;31/12/1986;31/12/1986;93100;0;;881;MOBILIER DE BUREAU
MOB/000002/DRK100;Armoire metallique 5 clapets;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000002/DRO250;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000002/DRO350;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000003/DME300;Armoire metallique 2 battants;31/12/1986;31/12/1986;94050;0;;881;MOBILIER DE BUREAU
MOB/000003/DRK100;Table a dessin;31/12/1986;31/12/1986;161700;0;;881;MOBILIER DE BUREAU
MOB/000003/DRO250;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000003/DRO350;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000004/DME300;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000004/DRK100;Table a dessin;31/12/1986;31/12/1986;161700;0;;881;MOBILIER DE BUREAU
MOB/000005/DME300;Table bois pieds met.3 tiroirs;31/12/1986;31/12/1986;119000;0;;881;MOBILIER DE BUREAU
MOB/000006/DME300;Table bois pieds met.3 tiroirs;31/12/1986;31/12/1986;142500;0;;881;MOBILIER DE BUREAU
MOB/000016/CRL100;Table bois support met.1 comp.;31/12/1986;31/12/1986;20000;0;;881;MOBILIER DE BUREAU
MOB/000019/DRB600;Table bois pieds metalliques;31/12/1986;31/12/1986;32000;0;;881;MOBILIER DE BUREAU
MOB/000020/DRB600;Table bois pieds metalliques;31/12/1986;31/12/1986;55000;0;;881;MOBILIER DE BUREAU
MOB/000057/DRO100;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000058/DRO100;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000059/DRO100;Chaise met.remb.sans accoudoir;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000060/DRO100;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000061/DRO100;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MAE/000001/CRB125;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRB150;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRK125;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRK200;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRO225;Paratonnerre;31/12/1987;31/12/1987;1370706;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRP100;Regulateur;31/12/1987;31/12/1987;322205;0;;857;MATERIEL ELECTRIQUE
MAE/000001/DRO250;Arm.com.pompes des bacs chlore;31/12/1987;31/12/1987;400000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRB125;Transformateur aerien;31/12/1987;31/12/1987;2340000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRK125;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRK150;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRL150;Paratonnerre;31/12/1987;31/12/1987;1370000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRP100;Armoire electrique;31/12/1987;31/12/1987;691200;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRY125;Transformateur MT/BT;31/12/1987;31/12/1987;3120000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRK225;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRL150;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRP100;Armoire electrique;31/12/1987;31/12/1987;1262400;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRL150;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRP100;Armoire electrique;31/12/1987;31/12/1987;1262400;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRY100;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000005/CRP100;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000006/CRP100;Transformateur e courant BT;31/12/1987;31/12/1987;2340000;0;;857;MATERIEL ELECTRIQUE
MAE/000010/CRL100;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000011/CRL100;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;857;MATERIEL ELECTRIQUE
MAE/000012/CRL100;Paratonnerre;31/12/1987;31/12/1987;2279731;0;;857;MATERIEL ELECTRIQUE
MAE/000012/DRB250;Paratonnerre;31/12/1987;31/12/1987;4000786;0;;857;MATERIEL ELECTRIQUE
MAE/000015/CRK175;Paratonnerre;31/12/1987;31/12/1987;1370000;0;;857;MATERIEL ELECTRIQUE
MAE/000011/CRK225;Electropompe de surface;31/12/1987;31/12/1987;3000001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000012/CRK225;Pompe de surface;31/12/1987;31/12/1987;3000001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000013/CRK225;Electropompe immergee;31/12/1987;31/12/1987;5400000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000021/CRB100;Paratonnerre;31/12/1987;31/12/1987;1370670;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000026/CRL100;Anti belier;31/12/1987;31/12/1987;3325000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000028/CRK175;Groupe electrogene;31/12/1987;31/12/1987;8880000;0;;859;MATERIEL ELECTROMECANIQUE
MOB/000001/CRO225;Etagere bois 3 niveaux;31/12/1987;31/12/1987;39750;0;;881;MOBILIER DE BUREAU
MOB/000001/CRY125;Armoire;31/12/1987;31/12/1987;98000;0;;881;MOBILIER DE BUREAU
MOB/000001/DAI100;Table bois pour ordinateur;31/12/1987;31/12/1987;129000;0;;881;MOBILIER DE BUREAU
MOB/000001/DCM200;Armoire metallique 10 clapets;31/12/1987;31/12/1987;99000;0;;881;MOBILIER DE BUREAU
MOB/000001/DEX100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000001/DFI100;Table semi-met.roul.ordinateur;31/12/1987;31/12/1987;66580;0;;881;MOBILIER DE BUREAU
MOB/000001/DRO625;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;12690;0;;881;MOBILIER DE BUREAU
MOB/000001/DRO650;Arm.bois 3 tir.pieds roulettes;31/12/1987;31/12/1987;98000;0;;881;MOBILIER DE BUREAU
MOB/000002/DEX100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000002/DRB200;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;9300;0;;881;MOBILIER DE BUREAU
MOB/000002/DRB625;Table bois pieds metalliques;31/12/1987;31/12/1987;27500;0;;881;MOBILIER DE BUREAU
MOB/000002/DRK200;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000003/CAB100;Chaise met.remb.avec accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000003/DAS100;Armoire metallique 2 battants;31/12/1987;31/12/1987;99000;0;;881;MOBILIER DE BUREAU
MOB/000003/DRB200;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;12750;0;;881;MOBILIER DE BUREAU
MOB/000003/DRB625;Meuble de rangement bois;31/12/1987;31/12/1987;110500;0;;881;MOBILIER DE BUREAU
MOB/000003/DRK200;bureau … caisson 3 tirroirs;31/12/1987;31/12/1987;129500;0;;881;MOBILIER DE BUREAU
MOB/000004/DAS100;Armoire metallique 2 battants;31/12/1987;31/12/1987;99000;0;;881;MOBILIER DE BUREAU
MOB/000004/DRK200;Bureau semi-met.3 tiroirs;31/12/1987;31/12/1987;129500;0;;881;MOBILIER DE BUREAU
MOB/000005/DRK100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000006/DRK100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000007/CRK100;Etagere metallique 30 tiroirs;31/12/1987;31/12/1987;68850;0;;881;MOBILIER DE BUREAU
MOB/000007/DME300;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;9950;0;;881;MOBILIER DE BUREAU
MOB/000007/DRK100;Chaise remb.pieds met.;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000008/CRK100;Etagere metallique 4 niveaux;31/12/1987;31/12/1987;68850;0;;881;MOBILIER DE BUREAU
MOB/000008/DME300;Chaise met.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000008/DRK100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000009/DRK100;Chaise met.remb.sans accoudoir;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000010/DRK100;Chaise metallique rembourree;31/12/1987;31/12/1987;11000;0;;881;MOBILIER DE BUREAU
MOB/000011/DRK100;Armoire metallique 5 clapets;31/12/1987;31/12/1987;97500;0;;881;MOBILIER DE BUREAU
MOB/000021/DRB600;Chaise vis.met.remb.sans acc.;31/12/1987;31/12/1987;12750;0;;881;MOBILIER DE BUREAU
MOB/000062/DRO100;Table metall. pour ordinateur;31/12/1987;31/12/1987;66580;0;;881;MOBILIER DE BUREAU
MAE/000001/CRF125;Paratonnerre;31/12/1988;31/12/1988;1484893;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRL175;Armoire electrique;31/12/1988;31/12/1988;1030000;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRO150;Coffret com.elect.forage F1;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRP125;Armoire electrique;31/12/1988;31/12/1988;1080000;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRP175;Armoire electrique;31/12/1988;31/12/1988;1374725;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRB175;Transformateur triphase;31/12/1988;31/12/1988;2535000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRF125;Armoire electrique;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRL175;Armoire electrique;31/12/1988;31/12/1988;1030000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRO150;Arm.commande elect.forage F3;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRP125;Armoire electrique;31/12/1988;31/12/1988;2600000;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRP175;Armoire electrique;31/12/1988;31/12/1988;1374725;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRK100;Poste transfo.aerien MT-BT;31/12/1988;31/12/1988;3094001;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRL175;Armoire electrique;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRO150;Arm.commande elect.forage F2;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRP125;Armoire electrique;31/12/1988;31/12/1988;2600000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRP175;Armoire electrique;31/12/1988;31/12/1988;3652070;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRL175;Armoire electrique;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRO150;Armoire de commande electrique;31/12/1988;31/12/1988;1980000;0;;857;MATERIEL ELECTRIQUE
MAE/000004/CRO175;Arm.commande electrique FG4;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000005/CRL175;Armoire electrique;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000005/CRO150;Armoire de commande electrique;31/12/1988;31/12/1988;2600000;0;;857;MATERIEL ELECTRIQUE
MAE/000005/CRO175;Arm.commande electrique FG3;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000006/CRL175;Armoire electrique;31/12/1988;31/12/1988;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000006/CRO150;Arm.commande elect.general;31/12/1988;31/12/1988;2600000;0;;857;MATERIEL ELECTRIQUE
MAE/000007/CRL175;Armoire electrique;31/12/1988;31/12/1988;2600000;0;;857;MATERIEL ELECTRIQUE
MAE/000006/CRP175;GEL station;31/12/1988;31/12/1988;34459624;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000007/CRB175;Agitateur de chaux;31/12/1988;31/12/1988;1250000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000007/CRF100;Bacchloration;31/12/1988;31/12/1988;431600;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000007/CRF125;Bac de sulfate d'alumine;31/12/1988;31/12/1988;431600;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000007/CRK275;Reservoir journalier a gazoil;31/12/1988;31/12/1988;220000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000008/CRB175;Reservoir a gasoil;31/12/1988;31/12/1988;2500000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000008/CRF125;Pompe doseuse;31/12/1988;31/12/1988;1072500;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000008/CRK275;Reservoir journalier a gazoil;31/12/1988;31/12/1988;220000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000009/CRF125;Pompe doseuse;31/12/1988;31/12/1988;1072500;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000009/CRK275;Groupe electrogene;31/12/1988;31/12/1988;17335500;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000010/CRF125;Electropompe de surface;31/12/1988;31/12/1988;1223951;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000011/CRF125;Electropompe de surface;31/12/1988;31/12/1988;1223951;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000011/CRP125;Electropompe immergee;31/12/1988;31/12/1988;431600;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000012/CRF125;Agitateur;31/12/1988;31/12/1988;1412964;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000012/CRL175;Cuve a gasoil;31/12/1988;31/12/1988;1350000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000012/CRP125;Bac de chloration;31/12/1988;31/12/1988;450000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000013/CRF125;Electropompe de surface;31/12/1988;31/12/1988;2447900;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000013/CRL175;Groupe electrogene;31/12/1988;31/12/1988;3750000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000013/CRP150;Groupe electrogene;31/12/1988;31/12/1988;33745545;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000014/CRL175;Reservoir;31/12/1988;31/12/1988;4062500;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000015/CRO175;Reservoir journalier a gazoil;31/12/1988;31/12/1988;520001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000016/CRO175;Reservoir journalier a gazoil;31/12/1988;31/12/1988;520001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000017/CRO175;Cuve a gazoil;31/12/1988;31/12/1988;3250001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000021/CRB125;Armoire electrique;31/12/1988;31/12/1988;390000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000021/CRL150;Cuve a gasoil;31/12/1988;31/12/1988;750000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000029/CRK175;Bac;31/12/1988;31/12/1988;431600;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000030/CRK175;Cuve a gazoil;31/12/1988;31/12/1988;3250001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000039/CRL150;Anti belier;31/12/1988;31/12/1988;13257000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000040/CRL150;Anti belier;31/12/1988;31/12/1988;13257000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000043/CRK100;Electropompe de surface;31/12/1988;31/12/1988;3817500;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000044/CRK100;Electropompe de surface;31/12/1988;31/12/1988;6805000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000045/CRK100;Groupe electrogene;31/12/1988;31/12/1988;13000001;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000046/CRK100;Groupe electrogene;31/12/1988;31/12/1988;26000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000050/CRO100;Reservoir anti belier;31/12/1988;31/12/1988;3250000;0;;859;MATERIEL ELECTROMECANIQUE
OUT/000001/CRL175;Palan 05 t;31/12/1988;31/12/1988;355735;0;;865;MATERIEL ET OUTILLAGE
OUT/000001/CRP150;Cuve a gazoil 4000 l;31/12/1988;31/12/1988;3250000;0;;865;MATERIEL ET OUTILLAGE
OUT/000001/CRP175;Etau de plombier;31/12/1988;31/12/1988;110485;0;;865;MATERIEL ET OUTILLAGE
OUT/000002/CRL175;Etau pour plombier;31/12/1988;31/12/1988;104443;0;;865;MATERIEL ET OUTILLAGE
OUT/000002/CRP175;Caisse a outils;31/12/1988;31/12/1988;2600000;0;;865;MATERIEL ET OUTILLAGE
OUT/000003/CRP175;Caisse a outils;31/12/1988;31/12/1988;2600000;0;;865;MATERIEL ET OUTILLAGE
MAB/000001/CRO150;Coffre-fort metallique;31/12/1988;31/12/1988;623610;0;;872;MATERIEL DE BUREAU
MAB/000001/CRO200;Coffre-fort;31/12/1988;31/12/1988;623610;0;;872;MATERIEL DE BUREAU
MOB/000001/CRF150;Etagere;31/12/1988;31/12/1988;142500;0;;881;MOBILIER DE BUREAU
MOB/000001/CRL175;Armoire metallique 4 tiroirs;31/12/1988;31/12/1988;32667;0;;881;MOBILIER DE BUREAU
MOB/000001/CRO150;Chaise remb.pied met.sans acc.;31/12/1988;31/12/1988;16000;0;;881;MOBILIER DE BUREAU
MOB/000001/CRO175;Arm.met.2 battants 4 niveaux;31/12/1988;31/12/1988;99000;0;;881;MOBILIER DE BUREAU
MOB/000001/CRP125;Chaise visit.remb.pieds met.;31/12/1988;31/12/1988;11000;0;;881;MOBILIER DE BUREAU
MOB/000001/CRP150;Armoire metallique 2 battants;31/12/1988;31/12/1988;99000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRB250;Table bois pieds metalliques;31/12/1988;31/12/1988;62000;0;;881;MOBILIER DE BUREAU
MOB/000002/CRL175;Armoire metallique 2 battants;31/12/1988;31/12/1988;32667;0;;881;MOBILIER DE BUREAU
MOB/000002/CRO150;Chaise remb.pied met.sans acc.;31/12/1988;31/12/1988;16000;0;;881;MOBILIER DE BUREAU
MOB/000002/CRO175;Etagere metallique 2 niveaux;31/12/1988;31/12/1988;119000;0;;881;MOBILIER DE BUREAU
MOB/000002/DRB250;Table bois;31/12/1988;31/12/1988;70800;0;;881;MOBILIER DE BUREAU
MOB/000002/DRB350;Armoire;31/12/1988;31/12/1988;132750;0;;881;MOBILIER DE BUREAU
MOB/000002/DRO625;Table bois pour ordinateur;31/12/1988;31/12/1988;55000;0;;881;MOBILIER DE BUREAU
MOB/000003/CRO150;Chaise remb.pied met.sans acc.;31/12/1988;31/12/1988;16000;0;;881;MOBILIER DE BUREAU
MOB/000003/CRO175;Etagere metallique 2 niveaux;31/12/1988;31/12/1988;119000;0;;881;MOBILIER DE BUREAU
MOB/000004/CRO150;Chaise remb.pied met.sans acc.;31/12/1988;31/12/1988;16000;0;;881;MOBILIER DE BUREAU
MOB/000004/CRO175;Etagere metallique 2 niveaux;31/12/1988;31/12/1988;119000;0;;881;MOBILIER DE BUREAU
MOB/000004/DRB625;Chaise bois remb.sans accoud.;31/12/1988;31/12/1988;12500;0;;881;MOBILIER DE BUREAU
